cell_type,gene_id
Epidermis,Solyc06g009610
Epidermis,Solyc06g011490
Epidermis,Solyc06g011550
Epidermis,Solyc06g011540
Epidermis,Solyc06g024380
Epidermis,Solyc06g024230
Epidermis,Solyc06g024245
Epidermis,Solyc06g024207
Epidermis,Solyc06g034080
Epidermis,Solyc06g035980
Epidermis,Solyc06g036310
Epidermis,Solyc06g036460
Epidermis,Solyc06g036640
Epidermis,Solyc06g043070
Epidermis,Solyc06g043020
Epidermis,Solyc06g048780
Epidermis,Solyc06g048910
Epidermis,Solyc06g050730
Epidermis,Solyc06g051045
Epidermis,Solyc06g051160
Epidermis,Solyc06g051450
Epidermis,Solyc06g051840
Epidermis,Solyc06g053150
Epidermis,Solyc06g053510
Epidermis,Solyc06g053653
Epidermis,Solyc06g053800
Epidermis,Solyc06g053805
Epidermis,Solyc06g054120
Epidermis,Solyc06g054500
Epidermis,Solyc06g054590
Epidermis,Solyc06g059805
Epidermis,Solyc06g059900
Epidermis,Solyc06g060360
Epidermis,Solyc06g060500
Epidermis,Solyc06g060600
Epidermis,Solyc06g060860
Epidermis,Solyc06g060880
Epidermis,Solyc06g060900
Epidermis,Solyc06g060960
Epidermis,Solyc06g060970
Epidermis,Solyc06g061210
Epidermis,Solyc06g062290
Epidermis,Solyc06g062760
Epidermis,Solyc06g062883
Epidermis,Solyc06g063130
Epidermis,Solyc06g064620
Epidermis,Solyc06g064680
Epidermis,Solyc06g064720
Epidermis,Solyc06g064880
Epidermis,Solyc06g065910
Epidermis,Solyc06g066180
Epidermis,Solyc06g084820
Epidermis,Solyc06g066330
Epidermis,Solyc06g066460
Epidermis,Solyc06g066477
Epidermis,Solyc06g066650
Epidermis,Solyc06g068370
Epidermis,Solyc06g068990
Epidermis,Solyc06g069130
Epidermis,Solyc06g069150
Epidermis,Solyc06g069210
Epidermis,Solyc06g069660
Epidermis,Solyc06g069670
Epidermis,Solyc06g069697
Epidermis,Solyc06g069727
Epidermis,Solyc06g070990
Epidermis,Solyc06g071620
Epidermis,Solyc06g071980
Epidermis,Solyc06g072240
Epidermis,Solyc06g072410
Epidermis,Solyc06g072830
Epidermis,Solyc06g072840
Epidermis,Solyc06g073510
Epidermis,Solyc06g073570
Epidermis,Solyc06g073580
Epidermis,Solyc06g073590
Epidermis,Solyc06g073620
Epidermis,Solyc06g074300
Epidermis,Solyc06g074590
Epidermis,Solyc06g074640
Epidermis,Solyc06g074905
Epidermis,Solyc06g075570
